Agent,Game,Action balanced replay buffer,Abandon ship,Grammar,Seed,25000,50000,75000,100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000
Sequitur k: 5,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=5,853286407,1.666667,296.666667,171.666667,435.833333,450,623.333333,645.833333,578.333333,768.333333,851.666667,777.5,645.833333,659.166667,630.833333
Sequitur k: 8,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=8,3371768399,309.166667,80,270,212.5,295,536.666667,633.333333,500.833333,638.333333,615,503.333333,491.666667,491.666667,554.166667
Sequitur k: 8,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=8,1136464578,82.5,237.5,291.666667,270,353.333333,375,622.5,466.666667,499.166667,575,660.833333,609.166667,725.833333,752.5
Sequitur k: 8,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=8,3654173039,263.333333,300.833333,121.666667,264.166667,403.333333,639.166667,635,648.333333,596.666667,695.833333,565,530.833333,615,506.666667
Sequitur k: 8,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=8,2573980213,132.5,156.666667,240,306.666667,434.166667,482.5,647.5,670.833333,673.333333,760,670.833333,735,674.166667,631.666667
Sequitur k: 8,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=8,853286407,1.666667,296.666667,171.666667,289.166667,306.666667,529.166667,531.666667,705.833333,651.666667,686.666667,629.166667,663.333333,753.333333,598.333333
IGGI,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,IGGI,3371768399,309.166667,80,270,224.166667,303.333333,570,477.5,499.166667,536.666667,527.5,660,640,624.166667,639.166667
IGGI,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,IGGI,1136464578,82.5,237.5,291.666667,413.333333,263.333333,273.333333,365.833333,507.5,495.833333,575,616.666667,578.333333,700,482.5
IGGI,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,IGGI,3654173039,263.333333,300.833333,121.666667,201.666667,317.5,415,532.5,491.666667,544.166667,625.833333,665.833333,585.833333,475,496.666667
IGGI,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,IGGI,2573980213,132.5,156.666667,240,315.833333,405.833333,360.833333,604.166667,602.5,602.5,648.333333,642.5,702.5,641.666667,901.666667
IGGI,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,IGGI,853286407,1.666667,296.666667,171.666667,406.666667,400,467.5,650,636.666667,635,353.333333,754.166667,610.833333,597.5,739.166667
DDQN,Grammar Inference Ablation Study,N/A,N/A,N/A,3371768399,20.833333,29.166667,253.333333,300,318.333333,353.333333,181.666667,433.333333,415.833333,337.5,248.333333,465,302.5,449.166667
DDQN,Grammar Inference Ablation Study,N/A,N/A,N/A,1136464578,60,197.5,151.666667,242.5,170.833333,389.166667,500,327.5,315,345.833333,340,222.5,342.5,380
DDQN,Grammar Inference Ablation Study,N/A,N/A,N/A,3654173039,145,268.333333,355.833333,326.666667,281.666667,317.5,202.5,244.166667,335,383.333333,449.166667,184.166667,308.333333,387.5
DDQN,Grammar Inference Ablation Study,N/A,N/A,N/A,2573980213,204.166667,125.833333,242.5,126.666667,208.333333,300.833333,286.666667,156.666667,392.5,297.5,295.833333,375.833333,429.166667,392.5
DDQN,Grammar Inference Ablation Study,N/A,N/A,N/A,853286407,290.833333,265.833333,277.5,326.666667,365.833333,416.666667,436.666667,315,383.333333,324.166667,467.5,275.833333,422.5,388.333333
Without Hindsight Action Replay,Hindsight Action Replay Ablation Study,TRUE,Abandon ship 1.0,IGGI,3371768399,309.166667,80,270,323.333333,392.5,283.333333,270.833333,238.333333,307.5,260.833333,274.166667,470,202.5,320
Without Hindsight Action Replay,Hindsight Action Replay Ablation Study,TRUE,Abandon ship 1.0,IGGI,1136464578,82.5,237.5,291.666667,371.666667,224.166667,407.5,354.166667,190.833333,315.833333,400.833333,324.166667,263.333333,365.833333,360.833333
Without Hindsight Action Replay,Hindsight Action Replay Ablation Study,TRUE,Abandon ship 1.0,IGGI,3654173039,263.333333,300.833333,121.666667,381.666667,378.333333,524.166667,345.833333,495,318.333333,453.333333,452.5,371.666667,585,352.5
Without Hindsight Action Replay,Hindsight Action Replay Ablation Study,TRUE,Abandon ship 1.0,IGGI,2573980213,132.5,156.666667,240,435,295.833333,414.166667,220,163.333333,243.333333,560.833333,405.833333,341.666667,402.5,575.833333
Without Hindsight Action Replay,Hindsight Action Replay Ablation Study,TRUE,Abandon ship 1.0,IGGI,853286407,1.666667,296.666667,171.666667,260,175,237.5,304.166667,337.5,305.833333,394.166667,420,275,521.666667,507.5
With Hindsight Action Replay,Hindsight Action Replay Ablation Study,TRUE,Abandon ship 1.0,IGGI,3371768399,309.166667,80,270,224.166667,303.333333,570,477.5,499.166667,536.666667,527.5,660,640,624.166667,639.166667
